CoC Number,CoC Name,"Total Homeless, 2017","Sheltered Homeless, 2017","Unsheltered Homeless, 2017","Homeless Individuals, 2017","Sheltered Homeless Individuals, 2017","Unsheltered Homeless Individuals, 2017","Homeless People in Families, 2017","Sheltered Homeless People in Families, 2017","Unsheltered Homeless People in Families, 2017","Chronically Homeless, 2017","Sheltered Chronically Homeless, 2017","Unsheltered Chronically Homeless, 2017","Chronically Homeless Individuals, 2017","Sheltered Chronically Homeless Individuals, 2017","Unsheltered Chronically Homeless Individuals, 2017","Chronically Homeless People in Families, 2017","Sheltered Chronically Homeless People in Families, 2017","Unsheltered Chronically Homeless People in Families, 2017","Homeless Veterans, 2017","Sheltered Homeless Veterans, 2017","Unsheltered Homeless Veterans, 2017","Homeless Unaccompanied Youth (Under 25), 2017","Sheltered Homeless Unaccompanied Youth (Under 25), 2017","Unsheltered Homeless Unaccompanied Youth (Under 25), 2017","Homeless Unaccompanied Children (Under 18), 2017","Sheltered Homeless Unaccompanied Children (Under 18), 2017","Unsheltered Homeless Unaccompanied Children (Under 18), 2017","Homeless Unaccompanied Young Adults (Age 18-24), 2017","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2017","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2017","Parenting Youth (Under 25), 2017","Sheltered Parenting Youth (Under 25), 2017","Unsheltered Parenting Youth (Under 25), 2017","Parenting Youth Under 18, 2017","Sheltered Parenting Youth Under 18, 2017","Unsheltered Parenting Youth Under 18, 2017","Parenting Youth Age 18-24, 2017","Sheltered Parenting Youth Age 18-24, 2017","Unsheltered Parenting Youth Age 18-24, 2017","Children of Parenting Youth, 2017","Sheltered Children of Parenting Youth, 2017","Unsheltered Children of Parenting Youth, 2017"
AK-500,Anchorage CoC,"1,128",973,155,848,693,155,280,280,0,116,72,44,114,70,44,2,2,0,69,57,12,115,101,14,8,8,0,107,93,14,12,12,0,0,0,0,12,12,0,21,21,0
AK-501,Alaska Balance of State CoC,717,578,139,506,367,139,211,211,0,141,86,55,102,47,55,39,39,0,55,38,17,47,41,6,7,7,0,40,34,6,10,10,0,0,0,0,10,10,0,18,18,0
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","1,092",875,217,932,715,217,160,160,0,92,31,61,89,28,61,3,3,0,40,29,11,125,80,45,2,2,0,123,78,45,8,8,0,6,6,0,2,2,0,10,10,0
AL-501,Mobile City & County/Baldwin County CoC,606,341,265,426,179,247,180,162,18,65,9,56,65,9,56,0,0,0,76,50,26,18,9,9,0,0,0,18,9,9,12,12,0,0,0,0,12,12,0,18,18,0
AL-502,Florence/Northwest Alabama CoC,155,133,22,155,133,22,0,0,0,24,10,14,24,10,14,0,0,0,11,3,8,8,7,1,0,0,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0
AL-503,Huntsville/North Alabama CoC,436,337,99,327,230,97,109,107,2,64,49,15,61,46,15,3,3,0,27,23,4,30,25,5,13,13,0,17,12,5,2,2,0,0,0,0,2,2,0,3,3,0
AL-504,Montgomery City & County CoC,377,314,63,284,225,59,93,89,4,45,39,6,45,39,6,0,0,0,55,53,2,23,23,0,5,5,0,18,18,0,4,4,0,0,0,0,4,4,0,4,4,0
AL-505,Gadsden/Northeast Alabama CoC,163,103,60,130,70,60,33,33,0,43,15,28,43,15,28,0,0,0,4,1,3,20,18,2,14,14,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0
AL-506,Tuscaloosa City & County CoC,200,137,63,140,77,63,60,60,0,24,15,9,11,2,9,13,13,0,41,34,7,31,3,28,0,0,0,31,3,28,0,0,0,0,0,0,0,0,0,0,0,0
AL-507,Alabama Balance of State CoC,764,416,348,591,321,270,173,95,78,6,3,3,6,3,3,0,0,0,15,9,6,39,17,22,2,0,2,37,17,20,3,0,3,0,0,0,3,0,3,4,0,4
