"county_fips","coc_number","coc_name","coc_name_PIT","in_2017_shapefile","in_2017_PIT","n_cocs_in_county","n_counties_in_coc","mult_county_mult_coc","rel_type","pct_cnty_pop_coc","pct_cnty_pov_coc"
"01001","AL-504","Montgomery City & County CoC","Montgomery City & County CoC","Yes","Yes",1,5,0,2,100,100
"01003","AL-501","Mobile City & County/Baldwin County CoC","Mobile City & County/Baldwin County CoC","Yes","Yes",1,2,0,2,100,100
"01005","AL-507","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,45,0,2,100,100
"01007","AL-507","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,45,0,2,100,100
"01009","AL-507","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,45,0,2,100,100
"01011","AL-504","Montgomery City & County CoC","Montgomery City & County CoC","Yes","Yes",1,5,0,2,100,100
"01013","AL-507","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,45,0,2,100,100
"01015","AL-507","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,45,0,2,16.1481839441506,11.0548904449966
"01017","AL-507","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,45,0,2,100,100
"01021","AL-507","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,45,0,2,100,100
"01023","AL-507","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,45,0,2,100,100
"01025","AL-507","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,45,0,2,100,100
"01027","AL-507","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,45,0,2,100,100
"01029","AL-507","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,45,0,2,100,100
"01031","AL-507","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,45,0,2,100,100
"01033","AL-502","Florence/Northwest Alabama CoC","Florence/Northwest Alabama CoC","Yes","Yes",1,6,0,2,100,100
"01035","AL-507","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,45,0,2,100,100
"01037","AL-507","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,45,0,2,100,100
"01039","AL-507","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,45,0,2,100,100
"01041","AL-507","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,45,0,2,100,100
"01043","AL-507","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,45,0,2,100,100
