"GEOID","total_pop_in_poverty","total_population"
"01001020100",199,2010
"01001020200",483,2196
"01001020300",337,3136
"01001020400",125,4563
"01001020500",998,10529
"01001020600",237,3742
"01001020700",573,3047
"01001020801",446,3025
"01001020802",1639,10743
"01001020900",594,5912
"01001021000",436,2899
"01001021100",630,3247
"01003010100",556,4013
"01003010200",834,3067
"01003010300",518,8079
"01003010400",673,4578
"01003010500",756,5115
"01003010600",982,3503
"01003010701",395,7938
"01003010703",625,17062
"01003010704",606,6004
"01003010705",1162,9435
"01003010800",1217,7686
"01003010903",791,5953
"01003010904",1061,6523
"01003010905",1234,8055
"01003010906",589,5272
"01003011000",845,3885
"01003011101",576,9685
"01003011102",504,4578
"01003011201",1055,5023
"01003011202",324,6085
"01003011300",729,4621
"01003011401",1186,10021
"01003011403",751,9933
"01003011405",253,4078
"01003011406",722,3810
"01003011407",1032,4970
"01003011408",61,719
"01003011501",1043,5947
"01003011502",2343,11575
"01003011601",1606,6640
"01003011602",522,5657
"01003990000",0,0
"01005950100",1150,3477
"01005950200",768,4404
"01005950300",595,1657
"01005950400",487,3693
"01005950500",657,3438
"01005950600",620,2003
"01005950700",568,1959
"01005950800",310,2195
"01005950900",1080,3788
"01007010001",264,2783
"01007010002",1546,6562
"01007010003",794,4824
"01007010004",786,8403
"01009050101",1420,7864
"01009050102",1150,7202
"01009050200",534,3317
"01009050300",1132,5025
"01009050400",1132,4689
"01009050500",1514,7250
"01009050601",585,3962
"01009050602",691,9550
"01009050700",1283,8845
"01011952100",595,1738
"01011952200",1333,5660
"01011952500",800,3154
"01013952700",447,2142
"01013952800",327,1479
"01013952900",624,2342
"01013953000",369,1489
"01013953100",1129,2981
"01013953200",850,4006
"01013953300",310,1791
"01013953400",715,2754
"01013953500",355,1296
"01015000200",1199,3034
"01015000300",1101,2509
"01015000400",1145,2711
"01015000500",755,1444
"01015000600",845,1908
"01015000700",900,2774
"01015000800",268,1166
"01015000900",768,3905
"01015001000",589,6162
"01015001100",772,7060
"01015001201",757,3209
"01015001202",393,4151
"01015001300",506,2305
"01015001400",555,2955
"01015001500",779,4665
"01015001600",1097,3621
"01015001700",594,6614
"01015001800",815,6418
"01015002000",896,6988
"01015002101",1040,3611
"01015002102",385,3285
"01015002103",1738,6975
"01015002200",664,3442
"01015002300",1011,3677
"01015002400",466,4494
"01015002501",939,7522
"01015002502",588,4467
"01015002600",570,4807
"01015981901",0,4
"01015981902",0,0
"01015981903",0,0
"01017953800",1181,3930
"01017953900",797,3045
"01017954000",1074,6321
"01017954200",511,3197
"01017954300",683,4839
"01017954400",187,891
"01017954500",1071,4116
"01017954600",378,3057
"01017954700",923,4622
"01019955701",629,3557
"01019955702",930,3616
"01019955800",666,5298
"01019955900",842,4594
"01019956000",670,4397
"01019956100",451,4435
"01021060101",705,4718
"01021060102",1618,6755
"01021060200",487,2887
"01021060300",680,3864
"01021060401",900,5712
"01021060402",2630,8735
"01021060500",546,2988
"01021060600",501,3148
